Job Title,Company Name,Company Location,Salary,Experience Required,Job Description,Skills and Related Content
Digital Marketing Analyst,Tutcart,"Delhi, Delhi",Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-timePart-timeInternship+ show moreShift and scheduleMonday to Friday&nbsp;LocationDelhi, Delhi&nbsp;BenefitsPulled from the full job descriptionFlexible scheduleWork from home&nbsp;Full job descriptionJoin Tutcart as a Digital Marketing Analyst!
About Tutcart:
Tutcart is at the forefront of transforming education with innovative technology. As a pioneering edtech startup, we are committed to making learning accessible, engaging, and personalized for all.
Why Choose Us?","skills with proficiency in data analytics tools and platforms.
Knowledge of product management principles, business strategy development, and market research methodologies.
Creative thinker with excellent brainstorming, problem-solving, and communication skills.
Ability to work independently, prioritize tasks, and collaborate effectively in a fast-paced startup environment.
Graphic designing, video editing, creative content development, or related skills are a strong plus and will be considered advantageous for the role."
Client Data Analyst,JPMorgan Chase & Co,"Bengaluru, Karnataka",Salary not mentioned,4 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;Full job description
JOB DESCRIPTION
 Take a lead role in acquiring, managing and retaining meaningful relationships that deliver outstanding experience to our customers.
 Job Summary
As a Client Data Analyst within our KYC/AML team, you will be an team member contributor responsible for understanding and implementing KYC standards, guidelines, policies, and procedures. You will handle and maintain confidential client documentation, collect and verify confidential client data, and review client data/processes to meet firm-wide quality standards. This role provides an opportunity to engage with the Middle office and be part of KYC/AML interactions, offering a challenging and rewarding environment for growth and development.
 Job Responsibilities",Skills and Capabilities
"Senior Data Analyst - Digital Marketing, Contract",TechnologyAdvice,"Bengaluru, Karnataka","₹1,258 - ₹1,678 a day",3-5 Years,"Job detailsHere’s how the job details align with your profile.Pay₹1,258 - ₹1,678 a dayJob typeTemporary&nbsp;LocationBengaluru, Karnataka&nbsp;Full job description","skills and tools.
 Employment Level: Senior
 Employment Type: Contract
 Location: India
 Working Hours: 3pm - 12am IST (4:30am - 1:30pm CST)"
Tableau and Data Analyst,aloola,"Surat, Gujarat",Salary not mentioned,10 Years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationSurat, Gujarat&nbsp;Full job description","skills with the ability to derive insights from complex data sets.
Exceptional attention to detail and organizational skills."
Digital Marketing Analyst,Tutcart,"Delhi, Delhi",Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-timePart-timeInternship+ show moreShift and scheduleMonday to Friday&nbsp;LocationDelhi, Delhi&nbsp;BenefitsPulled from the full job descriptionFlexible scheduleWork from home&nbsp;Full job descriptionJoin Tutcart as a Digital Marketing Analyst!
About Tutcart:
Tutcart is at the forefront of transforming education with innovative technology. As a pioneering edtech startup, we are committed to making learning accessible, engaging, and personalized for all.
Why Choose Us?","skills with proficiency in data analytics tools and platforms.
Knowledge of product management principles, business strategy development, and market research methodologies.
Creative thinker with excellent brainstorming, problem-solving, and communication skills.
Ability to work independently, prioritize tasks, and collaborate effectively in a fast-paced startup environment.
Graphic designing, video editing, creative content development, or related skills are a strong plus and will be considered advantageous for the role."
Tableau and Data Analyst,aloola,"Surat, Gujarat",Salary not mentioned,10 Years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationSurat, Gujarat&nbsp;Full job description","skills with the ability to derive insights from complex data sets.
Exceptional attention to detail and organizational skills."
Client Data Analyst,JPMorgan Chase & Co,"Bengaluru, Karnataka",Salary not mentioned,4 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;Full job description
JOB DESCRIPTION
 Take a lead role in acquiring, managing and retaining meaningful relationships that deliver outstanding experience to our customers.
 Job Summary
As a Client Data Analyst within our KYC/AML team, you will be an team member contributor responsible for understanding and implementing KYC standards, guidelines, policies, and procedures. You will handle and maintain confidential client documentation, collect and verify confidential client data, and review client data/processes to meet firm-wide quality standards. This role provides an opportunity to engage with the Middle office and be part of KYC/AML interactions, offering a challenging and rewarding environment for growth and development.
 Job Responsibilities",Skills and Capabilities
"Senior Data Analyst - Digital Marketing, Contract",TechnologyAdvice,"Bengaluru, Karnataka","₹1,258 - ₹1,678 a day",3-5 Years,"Job detailsHere’s how the job details align with your profile.Pay₹1,258 - ₹1,678 a dayJob typeTemporary&nbsp;LocationBengaluru, Karnataka&nbsp;Full job description","skills and tools.
 Employment Level: Senior
 Employment Type: Contract
 Location: India
 Working Hours: 3pm - 12am IST (4:30am - 1:30pm CST)"
Research Science Analyst - Performance Lens,McKinsey & Company,"Gurugram, Haryana",Salary not mentioned,1+ years,Full job description,"skills
Ability to quickly synthesize various data sources to generate clear, complete perspectives
Ability and flexibility to manage multiple assignments in a dynamic, complex and fast-paced environment
High level of attention to detail
Comfortable with ambiguity; strong sense of ownership and perseverance
Comfortable with working across a global team in multiple geographic time zones
Business-level language skills
Fluency in English. Knowledge of other languages is a plus"
"Data Analyst, Credit Risk Strategy",PayPal,"Chennai, Tamil Nadu",Salary not mentioned,25 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationChennai, Tamil Nadu&nbsp;BenefitsPulled from the full job descriptionHealth insurance&nbsp;Full job description
The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.
 We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.
 We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.
 Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities.
Job Description Summary: What you need to know about the role- • This position is part of the Global Commercial Lending Credit Risk team and will be responsible for performing data analytics using machine learning tools to identify opportunities and build strategies to mitigate risk associated with commercial lending portfolio • This position will play a crucial role in developing and refining credit risk management strategies pertaining to New Accounts acquisition. • This position will be responsible for analyzing large datasets identifying trends and providing insights to inform decision making processes aimed at mitigating credit risk exposure for the organization. Meet our team • You will directly impact the Global Merchant Lending business by delivering strategies that will enable overall growth of the commercial lending portfolios, while effectively managing credit risk. • You will report to Manager, Global Commercial Lending • The GML Credit Risk team directly supports the GML Business Unit and other relevant key stakeholders across PayPal's Consumer, Merchant, Credit, and Payments Business Units.
Job Description:
Your way to impact","skills a must including the ability to explain and/or present analysis.
Must have good business judgment with demonstrated ability to think creatively and strategically.
Aptitude and willingness to roll-up the sleeves and get involved in the details.
Proficiency in Python, R and SQL.
Excel, Word, and PowerPoint proficiency
Must have good business judgment with demonstrated ability to think creatively and strategically.
Aptitude and willingness to roll-up the sleeves and get involved in the details"
UI/UX Design Intern (Remote),Ecowiser,Company Location not found,"₹10,000 - ₹15,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹10,000 - ₹15,000 a monthJob typeInternship&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionFlexible scheduleWork from home&nbsp;Full job description
We are looking for a UI/UX Design Intern
Location: Remote position
Duration: 6 months
Stipend: 10-15k per month
Who are we?
Ecowiser, a part of ThrivingZen (OPC) Private Limited is an organization focused on making sustainable living hassle-free and affordable. Ecowiser provides sustainable product recommendations across fashion, food, personal care, and household products.
We are looking for a driven, eager technology professional who wants to work in a diverse team of sustainability-focused personnel. We are building a scalable software product targeted toward the US/European consumer markets, to help promote sustainable and ethical consumption. You will be working on a fully remote basis and networking with INSEAD graduates, doctors, entrepreneurs and ex-Google employees.
For more information, visit our website.
Why Work with us?
We pride ourselves on focusing on users first, and rigorously evaluate and measure as we develop our products. Ecowiser fosters a culture of continual learning and development, a collaborative and exciting work environment, personal ownership of projects and career growth, flexible work schedules, and continually promotes team members to have a fulfilling life outside of work.
Job Role/Responsibilities:
1. Gain end-to-end product design experience by designing customer personas, talking to users, understanding main pain points, and designing relevant user experiences
2. Create user flows, wireframes, prototypes, and mockups for the website and chrome extension
3. Translate requirements into style guides, design systems, design patterns, and attractive user interfaces
4. Design UI elements such as input controls, navigational components, and informational components
5. Experiment and test different designs with users","skills and interests
5. Passionate about working towards a greener world!"

Job Title,Company Name,Company Location,Salary,Experience Required,Job Description,Skills and Related Content
Senior Computer Scientist,Adobe,"Bengaluru, Karnataka",Salary not mentioned,11 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;Full job descriptionOur Company  Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.  We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!  Job Description  Adobe InDesign is the industry-leading page design software and layout app that lets you create, pre-flight and publish professional documents for print and digital media. InDesign has everything you need to make posters, books, digital magazines, eBooks, interactive PDFs and more. InDesign is part of creative suite of products from Digital Media. InDesign is used by millions every month and touches the lives of people across the globe. Our development team tackles a wide variety of engineering problems - complex typography and layout algorithms, graphics handling, rendering, sophisticated UI design and much more. We are looking for a Technical member with ML expertise to join our team!  What you’ll do Own product solutions through their end to end development lifecycle ensuring high quality. As a key member of the team you will be expected to design, build, test and deploy stable, scalable and simple solutions. Work very closely with product management, experience designers, quality engineering for defining requirements for features. Focus on R&D as well as an innovative mindset to identify potential opportunities within the product The position involves identifying the right solution for given problem by identifying the data-set, model training/development, debugging, deployment at scale, monitoring, analysing, etc Work in highly collaborative, fast paced, agile environment. Work with highly flexible and geographically distributed teams. Mentor junior team members.  Must have skills: B.Tech /M.Tech in Computer Science & Engineering from a premier institute. More than 11 years of overall design / development experience and 5-7 years hands on experience in ML Proficient in Object Oriented Programming, data structures and algorithm. Knowledge of application development on multiple platforms including various flavours of Windows and Macintosh. Should have excellent knowledge in fundamentals of Machine Learning and Artificial Intelligence. Should have hands on experience through ML Lifecycle from EDA to model deployment. Should have hands on experience data analysis tools like Jupyter, and packages like Numpy, Matplotlib etc. Familiarity with state-of-art deep learning frameworks, such as Tensorflow, PyTorch, Keras, Caffe, Torch. & architectures like Diffusion, LLM, etc. Can do attitude and willingness to take on challenges  Nice to have skills: Relevant work experience in the fields of computer vision and graphics Exposure to Cloud platforms like AWS/Azure. Develop cloud enabled, highly scalable and distributed solutions Familiarity with Docker, Kubernetes is a plus.  Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.  Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.  Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees.&nbsp;You must create an Indeed account before continuing to the company website to applyApply nowsave-iconReport job&nbsp;Senior Computer Scientist jobs in Bengaluru, KarnatakaJobs at Adobe in Bengaluru, KarnatakaSenior Computer Scientist salaries in Bengaluru, Karnataka","skills: B.Tech /M.Tech in Computer Science & Engineering from a premier institute. More than 11 years of overall design / development experience and 5-7 years hands on experience in ML Proficient in Object Oriented Programming, data structures and algorithm. Knowledge of application development on multiple platforms including various flavours of Windows and Macintosh. Should have excellent knowledge in fundamentals of Machine Learning and Artificial Intelligence. Should have hands on experience through ML Lifecycle from EDA to model deployment. Should have hands on experience data analysis tools like Jupyter, and packages like Numpy, Matplotlib etc. Familiarity with state-of-art deep learning frameworks, such as Tensorflow, PyTorch, Keras, Caffe, Torch. & architectures like Diffusion, LLM, etc. Can do attitude and willingness to take on challenges  Nice to have skills: Relevant work experience in the fields of computer vision and graphics Exposure to Cloud platforms like AWS/Azure. Develop cloud enabled, highly scalable and distributed solutions Familiarity with Docker, Kubernetes is a plus.  Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.  Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.  Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees.&nbsp;You must create an Indeed account before continuing to the company website to applyApply nowsave-iconReport job&nbsp;Senior Computer Scientist jobs in Bengaluru, KarnatakaJobs at Adobe in Bengaluru, KarnatakaSenior Computer Scientist salaries in Bengaluru, Karnataka"
Data Analyst,VWorker Solutions India Pvt Ltd,Company Location not found,"From ₹30,000 a month",7+ Years,"Job detailsHere’s how the job details align with your profile.PayFrom ₹30,000 a monthJob typePart-timeContractShift and scheduleMonday to Friday&nbsp;LocationRemote&nbsp;Full job descriptionJob Title: Data Analyst
Job Location: Remote
Job Type: Part Time
Skills: Power BI, SQL, AWS
Experience: 7+ Years
Time: 7 PM IST to 2 AM IST (3-4 Hrs In This Time Slot)
Top 5 Skill sets
1. Highly analytical and excel at ambiguity
2. Have experience with large and complex datasets – we have 400-500K of customers a day and our operation is complex
3. Very strong with PowerBI
4. Independent with minimal supervision – self starter
5. We do not get requirements from our users – so this individual will need to be a thought leader and present ideas. This is not a PowerBI developer role.
Job Summary:","Skills: Power BI, SQL, AWS
Experience: 7+ Years
Time: 7 PM IST to 2 AM IST (3-4 Hrs In This Time Slot)
Top 5 Skill sets
1. Highly analytical and excel at ambiguity
2. Have experience with large and complex datasets – we have 400-500K of customers a day and our operation is complex
3. Very strong with PowerBI
4. Independent with minimal supervision – self starter
5. We do not get requirements from our users – so this individual will need to be a thought leader and present ideas. This is not a PowerBI developer role.
Job Summary:"
Python Developer Data Analyst,Torry Harris,"Bengaluru, Karnataka",Salary not mentioned,,"Full job description
 Are you a Python enthusiast with a strong background in data analysis? If so, we have the perfect job for you! Torry Harris, a leading IT consulting and services company, is currently seeking a Python Developer Data Analyst to join our team.  Job Title: Python Developer Data Analyst Company: Torry Harris Location: Remote or Bangalore, India  Job Description:  As a Python Developer Data Analyst at Torry Harris, you will be responsible for designing, developing, and maintaining Python-based data analysis solutions. You will work closely with our data scientists and business analysts to gather and understand requirements, and then transform them into efficient and scalable Python code.  Key Responsibilities:  1. Develop and maintain Python-based data analysis solutions 2. Collaborate with data scientists and business analysts to understand and fulfill requirements 3. Design and implement data processing and manipulation pipelines 4. Analyze and visualize complex data sets to derive insights and make recommendations 5. Build and maintain data models and algorithms 6. Ensure the security, privacy, and integrity of data 7. Support and troubleshoot data-related issues 8. Stay up to date with the latest trends and technologies in data analysis and Python development  Qualifications:  1. Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or a related field 2. Proven experience as a Python Developer or Data Analyst 3. Proficiency in Python and its data analysis libraries (e.g. pandas, numpy, matplotlib) 4. Solid understanding of statistical analysis, machine learning, and data visualization 5. Experience with database management systems (e.g. SQL, NoSQL) 6. Strong problem-solving and analytical skills 7. Excellent communication and teamwork abilities 8. Knowledge of cloud platforms, such as AWS or Azure, is a plus  Why Work at Torry Harris:","skills 7. Excellent communication and teamwork abilities 8. Knowledge of cloud platforms, such as AWS or Azure, is a plus  Why Work at Torry Harris:"
Python & Data Science Trainer,IPCS Global solutions pvt ltd,"Mysuru, Karnataka","₹12,000 - ₹20,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹12,000 - ₹20,000 a monthJob typeFull-timePermanentShift and scheduleDay shift&nbsp;LocationMysuru, Karnataka&nbsp;Full job descriptionResponsible for delivering workshops & training programs, module preparation, queries handling of students
Planning, Coordinating and Consulting on the new technologies
Understanding the architecture, feasibility study and giving technical presentation.
Designing new courses and programs for training students
Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine learning
Training of candidates in Machine Learning and Deep Learning algorithms
Training of candidates in tools like R / Python/Java for frontend & Backend tech.
Train the students in Python base packages as Numpy, Pandas, Scikit learn, Seaborn & MatplotLib
Training of students using business intelligence tools (e.g. Tableau, PowerBI) and data frameworks & understanding with deep learning frameworks
Travel to customer site and locations for training as and when required
Deliver seminar presentations to customers remotely with ZOOM/SKYPE/Google Teams etc.
Manage the creation of relevant and engaging digital content for publishing onto various digital platforms
Job Types: Full-time, Permanent
Schedule:",Skills information not found
AI/ML Engineer with Computer Vision Experience,Arccus Inc,Company Location not found,"From ₹55,000 a month",3 years,"Job detailsHere’s how the job details align with your profile.PayFrom ₹55,000 a monthJob typeFull-timeShift and scheduleUS shiftDay shiftMonday to Friday&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job descriptionAbout Us:
Arccus Inc. is a forward-thinking technology company specializing in cutting-edge AI and machine learning solutions. We are dedicated to driving innovation and delivering top-notch products that solve real-world problems. We are currently seeking a talented Python Developer with a focus on AI/ML to join our dynamic team.
Job Description:As a Python Developer - AI/ML Engineer, you will be responsible for designing, developing, and deploying machine learning models and AI solutions. You will work closely with our data scientists and software engineers to implement AI algorithms, build deep learning models, and contribute to the development of AI-powered applications.
Key Responsibilities:",Skills:
Data Analyst,ClanX,"Mumbai, Maharashtra","₹5,00,000 - ₹6,00,000 a year",1-3 years,"Job detailsHere’s how the job details align with your profile.Pay₹5,00,000 - ₹6,00,000 a yearJob typeFull-time&nbsp;LocationMumbai, Maharashtra&nbsp;Full job description
Overview:
Eighty Days, a small but dynamic travel/utility company based in Mumbai, is seeking a Data Analyst to join our team. As an individual contributor, you will play a critical role in analyzing and tracking data from the ground up, helping drive key business decisions in a fast-paced environment.
 Requirements:","skills.
Bachelor's degree in a relevant field.
Experience in fast-paced environments with responsibility for end-to-end analytics."
